carpeta,actual,nuevo,fecha_descarga
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2360.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2360.pdf,2026-04-12 14:32:49
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2361.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2361.pdf,2026-04-12 14:32:56
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2362.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2362.pdf,2026-04-12 14:33:02
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2363.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2363.pdf,2026-04-12 14:33:07
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2364.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2364.pdf,2026-04-12 14:33:19
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2365.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2365.pdf,2026-04-12 14:33:23
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2366.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2366.pdf,2026-04-12 14:33:29
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2367.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2367.pdf,2026-04-12 14:33:37
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2368.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2368.pdf,2026-04-12 14:34:08
SECRETARIAS DE RECTORADO,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2369.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\SECRETARIAS DE RECTORADO\SECRETARIAS_DE_RECTORADO_2369.pdf,2026-04-12 14:34:09
