carpeta,actual,nuevo,fecha_descarga
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1413.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1413.pdf,2026-04-07 20:13:43
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1414.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1414.pdf,2026-04-07 20:13:50
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1415.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1415.pdf,2026-04-07 20:13:57
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1416.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1416.pdf,2026-04-07 20:14:03
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1417.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1417.pdf,2026-04-07 20:14:09
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1418.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1418.pdf,2026-04-07 20:14:15
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1419.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1419.pdf,2026-04-07 20:14:20
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1420.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1420.pdf,2026-04-07 20:14:25
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1421.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1421.pdf,2026-04-07 20:14:42
DEPARTAMENTO DE CIENCIAS BÁSICAS,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\1422.pdf,C:\Users\franc\OneDrive\Desktop\UNLU\Pasantia\Scraping UNLU\Scraping UNLU\Descargas\DEPARTAMENTO DE CIENCIAS BÁSICAS\DEPARTAMENTO_DE_CIENCIAS_BASICAS_1422.pdf,2026-04-07 20:14:46
